Line of Therapy,Molecule,Brand,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
First Line,Imatinib,Gleevec,69%,67%,66%,34%,5%,3%,3%,3%,3%,3%,3%
First Line,Imatinib,Generic,,,,33%,62%,66%,66%,67%,67%,66%,66%
First Line,Dasatinib,Sprycel,15%,15%,16%,17%,16%,15%,14%,13%,7%,1%,1%
1L,Dasatinib,Generic,,,,,,,,,7%,14%,15%
1L,Nilotinib,Tasigna,12%,12%,13%,14%,13%,12%,12%,11%,10%,9%,8%
1L,Bosutinib,Bosulif,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1L,Ponatinib,Iclusig,,0%,0%,2%,3%,3%,4%,5%,5%,6%,7%
1L,Total Market,Total Market,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
2L,Imatinib,Gleevec,14%,12%,10%,4%,1%,0%,0%,0%,0%,0%,0%
2L,Imatinib,Generic,,,,4%,6%,5%,5%,4%,4%,4%,3%
2L,Dasatinib,Sprycel,41%,41%,42%,42%,43%,43%,44%,44%,23%,4%,2%
2L,Dasatinib,Generic,,,,,,,,,22%,41%,43%
2L,Nilotinib,Tasigna,35%,36%,36%,36%,37%,37%,37%,37%,35%,34%,32%
2L,Bosutinib,Bosulif,1%,1%,1%,2%,2%,3%,3%,4%,4%,5%,5%
2L,Ponatinib,Iclusig,,5%,6%,6%,7%,8%,9%,10%,11%,11%,12%
2L,Total Market,Total Market,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
3L+,Imatinib,Gleevec,4%,4%,3%,2%,0%,0%,0%,0%,0%,0%,0%
3L+,Imatinib,Generic,,,,1%,2%,2%,2%,2%,2%,1%,1%
3L+,Dasatinib,Sprycel,26%,25%,24%,24%,23%,22%,22%,21%,11%,2%,1%
3L+,Dasatinib,Generic,,,,,,,,,10%,19%,20%
3L+,Nilotinib,Tasigna,35%,34%,34%,33%,33%,32%,32%,31%,30%,29%,28%
3L+,Bosutinib,Bosulif,4%,7%,8%,9%,10%,11%,12%,13%,13%,14%,14%
3L+,Ponatinib,Iclusig,,9%,12%,14%,17%,21%,25%,28%,29%,29%,30%
3L+,Total Market,Total Market,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
